Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 2),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 2),Unit Price (@ Batch Size: 2),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 2) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,,,,,,,,,,
1,08051A102JAT2A,AVX,08051A102JAT2A,https://octopart.com/08051a102jat2a-avx-40099726,0805 1nf,,Micro,2,478-1290-1-ND,08051A102JAT2A,Cut Tape,,0.4838022,0.38972955,74076,103517,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0b8fe01&sid=459&ppid=40099726&vpid=115215134&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0db3a87&sid=2401&ppid=40099726&vpid=115531422&ct=offers,Quest,08051A102JAT2A,,0.073914225,0.073914225,0.14782845,116,1,https://octopart.com/click/track?ak=39ac400e&sig=0ccf4e9&sid=2412&ppid=40099726&vpid=165437100&ct=offers,
1,VJ0805Y104JXAAT,Vishay,VJ0805Y104JXAAT,https://octopart.com/vj0805y104jxaat-vishay-39693542,0805 100nF,,Micro,2,720-2029-2-ND,VJ0805Y104JXAAT,Tape & Reel,,,0.3225348,30000,42210,3000,1,https://octopart.com/click/track?ak=39ac400e&sig=0a00a00&sid=459&ppid=39693542&vpid=510674482&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0b649af&sid=2401&ppid=39693542&vpid=115161078&ct=offers,"Arrow Electronics, Inc.",VJ0805Y104JXAAT,Cut Tape,0.3180999465,0.3180999465,0.636199893,20642,1,https://octopart.com/click/track?ak=39ac400e&sig=03cc368&sid=1106&ppid=39693542&vpid=473543431&ct=offers,
1,JMK212BJ226MG-T,Taiyo Yuden,JMK212BJ226MG-T,https://octopart.com/jmk212bj226mg-t-taiyo+yuden-198569,0805 22uF,,Micro,2,587-1305-1-ND,JMK212BJ226MG-T,Cut Tape,,0.36285165,0.30909585,803340,2391,1,1,https://octopart.com/click/track?ak=39ac400e&sig=03fdded&sid=459&ppid=198569&vpid=1621591&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0c4e559&sid=2401&ppid=198569&vpid=46007371&ct=offers,Voyager Components,CEJMK212BJ226MG-T,,0.13438950000000002,0.13438950000000002,0.26877900000000005,6000,1,https://octopart.com/click/track?ak=39ac400e&sig=0097f03&sid=2424&ppid=198569&vpid=57827651&ct=offers,
1,T494C106K016AT,KEMET,T494C106K016AT,https://octopart.com/t494c106k016at-kemet-99260,Tant 10uF,,Micro,2,399-8455-1-ND,T494C106K016AT,Cut Tape,,1.5589182,1.5454792499999999,4541,2273,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0a9397a&sid=459&ppid=99260&vpid=51928728&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0005afa&sid=2401&ppid=99260&vpid=44737742&ct=offers,LCSC,C122314,,0.6459,0.6459,1.2918,505,1,https://octopart.com/click/track?ak=39ac400e&sig=09895bf&sid=27971&ppid=99260&vpid=448095866&ct=offers,
1,MSP430FR2355TDBTR,Texas Instruments,MSP430FR2355TDBTR,https://octopart.com/msp430fr2355tdbtr-texas+instruments-92191340,TSSOP MSP430,,Micro,2,296-50259-1-ND,MSP430FR2355TDBTR,Cut Tape,,5.8056264,5.630920050000001,1870,1954,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0138c93&sid=459&ppid=92191340&vpid=496024262&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0af5d4f&sid=2401&ppid=92191340&vpid=492630233&ct=offers,TI store,MSP430FR2355TDBTR,Cut Tape,4.66331565,4.66331565,9.3266313,1716,1,https://octopart.com/click/track?ak=39ac400e&sig=0a8e68b&sid=27219&ppid=92191340&vpid=492150744&ct=offers,
1,SML-211YTT86,Rohm,SML-211YTT86,https://octopart.com/sml-211ytt86-rohm-550732,0805 Yellow,,Micro,2,511-1293-1-ND,SML-211YTT86,Cut Tape,,0.65850855,0.5106801000000001,23378,5417,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0249dc5&sid=459&ppid=550732&vpid=1435418&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=01cf97a&sid=2401&ppid=550732&vpid=44803202&ct=offers,Quest,SML-211YTT86,,0.37091502000000004,0.37091502000000004,0.7418300400000001,2714,1,https://octopart.com/click/track?ak=39ac400e&sig=08d319d&sid=2412&ppid=550732&vpid=44455723&ct=offers,
1,RP73PF2A332RBTDF,TE Connectivity,RP73PF2A332RBTDF,https://octopart.com/rp73pf2a332rbtdf-te+connectivity-45466805,0805 330Ohm,,Micro,2,,RP73PF2A332RBTDF,,,,0.4838022,,1026,,1,,https://octopart.com/click/track?ak=39ac400e&sig=0428a62&sid=2401&ppid=45466805&vpid=458887006&ct=offers,Newark,24W7500,Cut Tape,0.479,0.479,0.958,736,1,https://octopart.com/click/track?ak=39ac400e&sig=0067a98&sid=2402&ppid=45466805&vpid=208336644&ct=offers,
1,CPF0805B47KE1,TE Connectivity,CPF0805B47KE1,https://octopart.com/cpf0805b47ke1-te+connectivity-9539489,0805 47k,,Micro,2,A103211CT-ND,CPF0805B47KE1,Cut Tape,,0.7391422500000001,0.22846215000000003,695,166,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0a5d61a&sid=459&ppid=9539489&vpid=275743305&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=062bf37&sid=2401&ppid=9539489&vpid=72683110&ct=offers,Mouser,CPF0805B47KE1,,0.22846215000000003,0.22846215000000003,0.45692430000000006,166,1,https://octopart.com/click/track?ak=39ac400e&sig=062bf37&sid=2401&ppid=9539489&vpid=72683110&ct=offers,
1,1977223-6,TE Connectivity,1977223-6,https://octopart.com/1977223-6-te+connectivity-42192178,Switch,,Micro,2,450-2054-1-ND,1977223-6,Cut Tape,,0.55099695,0.7391422500000001,4938,1273,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0bd35c4&sid=459&ppid=42192178&vpid=99304225&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=01c80e6&sid=2401&ppid=42192178&vpid=115536661&ct=offers,"Arrow Electronics, Inc.",1977223-6,Cut Tape,0.39416440350000004,0.39416440350000004,0.7883288070000001,1060,1,https://octopart.com/click/track?ak=39ac400e&sig=0b10e35&sid=1106&ppid=42192178&vpid=473460205&ct=offers,
1,801-87-006-10-001101,Preci-Dip,801-87-006-10-001101,https://octopart.com/801-87-006-10-001101-preci-dip-21424351,Female Headers (x6) (6 Desired),,Micro,2,1212-1186-ND,801-87-006-10-001101,Bulk,,0.7794591,0.79289805,0,247,1,1,https://octopart.com/click/track?c=1&ak=39ac400e&sig=0b74b1f&sid=459&ppid=21424351&vpid=59041122&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0607b4a&sid=2401&ppid=21424351&vpid=456358965&ct=offers,Distrelec,14383990,,0.7537742135232275,0.7537742135232275,1.507548427046455,228,1,https://octopart.com/click/track?ak=39ac400e&sig=0928331&sid=14389&ppid=21424351&vpid=177365151&ct=offers,
