Qty,Value,Device,Package,Parts,Description,CENTROID_NOT_SPECIFIED,DATASHEET,DESCRIPTION,DIGI-KEY_PART_NUMBER,DIGI-KEY_PURCHASE_URL,DIGIKEY_DESCRIPTION,DIGIKEY_PART_NUMBER,IMPORTED_FROM,IS_FEMALE,LEAD_FREE,MANUFACTURER_PART_NUMBER,MF,MOUSER_PART_NUMBER,MP,MPN,NUM_PINS,OCTOPART_PART_NUMBER,PACKAGE,PREFIX,PROD_ID,ROHS,SF_SKU,TEMPERATURE_RANGE_HIGH,TEMPERATURE_RANGE_LOW,VALUE,VENDOR
3,,LED0805,CHIPLED_0805,RX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,MOMENTARY-SWITCH-SPST-PTH-6.0MM,TACTILE_SWITCH_PTH_6.0MM,RST,Momentary Switch (Pushbutton) - SPST,,,,,,,,,,,,,,,,,,,, SWCH-08441,,COM-00097,,,,
1,100,TRIMPOTTC33X,TC33X,TM2,SMT trimmer potentiometer part number TC33X,,,,,,,,,,,,,,,,,,,,,,,,,,
1,100n,22UF-0805-6.3V-20%,805,C5,22µF ceramic capacitors,,,,,,,,,,,,,,,,,,,,CAP-08402,,,,,22uF,
1,100nF,22UF-0805-6.3V-20%,805,C2,22µF ceramic capacitors,,,,,,,,,,,,,,,,,,,,CAP-08402,,,,,22uF,
1,10µF,10UF-POLAR-EIA6032-25V-10%,EIA6032-NOM,C1,10.0µF polarized capacitors,,,,,,,,,,,,,,,,,,,,CAP-12984,,,,,10µF,
1,1M,2.0KOHM-0603-1/10W-5%,603,R4,2kΩ resistor,,,,,,,,,,,,,,,,,,,,RES-08296,,,,,2.0k,
1,1k,RESISTOR0805,805,1K,Resistors,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1n,22UF-0805-6.3V-20%,805,C6,22µF ceramic capacitors,,,,,,,,,,,,,,,,,,,,CAP-08402,,,,,22uF,
1,22uF,22UF-0805-6.3V-20%,805,C3,22µF ceramic capacitors,,,,,,,,,,,,,,,,,,,,CAP-08402,,,,,22uF,
1,3.3V,DIODE-ZENER-MM3Z3V3T1G,SOD-323,D1,Zener Diode,,,,,,,,,,,,,,,,,,,,DIO-11284,,,,,3.3V,
2,330,RESISTOR0805,805,R2,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,455-1750-1-ND,CONN_04,1X04,GND,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,470n,22UF-0805-6.3V-20%,805,C4,22µF ceramic capacitors,,,,,,,,,,,,,,,,,,,,CAP-08402,,,,,22uF,
1,47k,RESISTOR0805,805,47K,Resistors,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5-1814400-1,5-1814400-1,5-1814400-1,RIGHT_ANGLE_SMA_MALE,,,,,,,,,,,,518144001,,,,,,,,,,,,,,,TE Connectivity
1,FILT,CONN_02,1X02,FILT,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FT232RL-BASICSSOP,FT232RL-BASICSSOP,SSOP28DB,FT232RL,USB UART,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LTC1069-7CS8#PBF,LTC1069-7CS8#PBF,SO-8_S,TL069,,,, LTC1069-7 - Linear Phase 8th Order Lowpass Filter ,LTC1069-7CS8#PBF-ND,https://www.digikey.com/product-detail/en/linear-technology-analog-devices/LTC1069-7CS8-PBF/LTC1069-7CS8-PBF-ND/889060?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol,,,,,,,Linear Technology,,LTC1069-7CS8#PBF,,,,SOIC-8 Linear Technology,,,,,,,,
1,MOLEX_48037-0001MOLEX_48037-0001_0_0,MOLEX_48037-0001MOLEX_48037-0001_0_0,MOLEX_48037-0001_0,J2,Universal Serial Bus (USB) Shielded I/O Plug,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MSP430FR2355,MSP430FR2355,DA38,MSP430,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,RX,CONN_02,1X02,J4,,,,,,,,,,,,,,,,,,,,,,,,,,,
